cards,evo,hero,weight,label
26000010|26000014|26000021|26000030|26000038|27000000|28000000|28000011,26000010|27000000,26000014,0.028892,Fireball / Hog Rider
26000010|26000023|26000049|26000099|26000107|27000001|28000000|28000015,26000049,26000023,0.023713,Goblinstein / Fireball
26000010|26000030|26000059|26000072|27000000|28000011|28000014|28000018,26000059|27000000,,0.019420,Archer Queen / Royal Hogs
26000001|26000010|26000084|26000099|26000107|27000006|28000007|28000015,26000001|27000006,,0.019011,Lightning / Goblinstein
26000010|26000024|26000044|26000050|26000061|26000084|28000000|28000015,26000024|26000050,28000015,0.017444,Royal Giant / Fireball
26000010|26000021|26000064|26000065|26000084|27000006|28000014|28000015,26000064|27000006,,0.015400,Hog Rider / Mighty Miner
26000010|26000014|26000021|26000030|26000038|27000000|28000000|28000011,26000014|27000000,26000038,0.014264,Fireball / Hog Rider
26000000|26000015|26000023|27000009|28000009|28000010|28000012|28000015,26000015,26000023|27000009,0.013742,Graveyard / Baby Dragon
26000019|26000032|26000058|26000062|26000065|27000004|28000012|28000018,26000058,26000062,0.012697,Bomb Tower / Magic Archer
26000009|26000013|26000018|26000043|26000048|26000087|28000001|28000008,26000043|28000008,26000018,0.012606,Golem / Elite Barbarians
26000011|26000026|26000030|26000040|26000049|26000058|27000000|28000004,26000040|28000004,26000011,0.011425,Valkyrie / Cannon
26000004|26000036|26000042|26000046|26000050|26000062|28000000|28000008,26000036|26000050,26000062,0.011039,P.E.K.K.A / Battle Ram
26000009|26000012|26000032|26000037|26000048|26000069|28000008|28000024,26000012|26000037,,0.010903,Golem / Inferno Dragon
26000000|26000012|26000026|26000030|26000040|27000003|28000004|28000011,26000012|28000004,26000000,0.010562,Inferno Tower / Dart Goblin
26000017|26000020|26000036|26000050|26000052|26000083|28000015|28000026,26000036|26000050,26000017,0.010494,Giant Skeleton / Wizard
26000000|26000001|26000010|26000084|27000006|27000008|28000000|28000011,26000001|27000006,26000000,0.010108,X-Bow / Fireball
26000007|26000012|26000048|26000067|26000069|28000001|28000002|28000007,26000007|26000012,,0.009494,Lightning / Witch
26000007|26000012|26000048|26000067|26000069|28000001|28000007|28000024,26000007|26000012,,0.009494,Lightning / Witch
26000001|26000010|26000084|26000099|26000107|27000004|28000007|28000015,26000001|26000010,,0.009335,Lightning / Goblinstein
26000011|26000029|26000037|26000080|26000107|27000009|28000000|28000008,26000037|28000008,26000011,0.009245,Lava Hound / Fireball
26000010|26000023|26000084|26000099|26000107|27000001|28000000|28000015,26000010,26000023,0.008609,Goblinstein / Fireball
26000002|26000040|26000050|26000053|26000056|26000097|28000005|28000011,26000040|26000056,26000002,0.008018,Rascals / Freeze
26000003|26000017|26000018|26000033|28000008|28000012|28000016|28000026,26000017|28000008,26000018,0.008018,Sparky / Giant
26000022|26000023|26000053|26000054|26000107|27000002|28000000|28000015,26000022|27000002,26000023,0.007995,Cannon Cart / Minion Horde
26000011|26000012|26000026|26000030|26000040|26000058|27000000|28000004,26000012|28000004,26000011,0.007700,Valkyrie / Cannon
26000003|26000026|26000028|26000036|26000041|26000049|27000007|28000006,26000026|26000049,26000003,0.007314,Three Musketeers / Elixir Collector
26000034|26000037|26000045|26000052|26000074|28000005|28000010|28000012,26000037|26000045,,0.007041,Bowler / Executioner
26000010|26000022|26000054|26000083|26000099|27000002|28000000|28000015,26000022|27000002,,0.006950,Cannon Cart / Goblinstein
26000010|26000021|26000064|26000065|26000084|27000006|28000011|28000014,26000064|27000006,,0.006928,Hog Rider / Mighty Miner
26000000|26000026|26000030|26000041|27000003|28000003|28000004|28000011,26000026|28000004,26000000,0.006678,Rocket / Inferno Tower
26000022|26000041|26000054|26000083|26000099|27000002|28000000|28000015,26000022|27000002,,0.006655,Cannon Cart / Goblinstein
26000002|26000005|26000053|26000054|26000056|27000002|28000000|28000015,26000056|27000002,26000002,0.006542,Cannon Cart / Rascals
26000000|26000010|26000023|27000006|27000008|28000003|28000011|28000012,26000000|27000006,26000023,0.006428,Rocket / X-Bow
26000036|26000042|26000046|26000050|26000074|26000083|26000106|28000016,26000036|26000050,,0.006337,Ronin / Battle Ram
26000000|26000011|26000013|26000016|26000017|26000021|27000001|27000003,26000000,26000017,0.006087,Inferno Tower / Prince
26000003|26000013|26000016|26000027|26000039|28000002|28000007|28000008,28000008,26000003|26000039,0.005974,Lightning / Giant
26000009|26000043|26000063|26000080|26000102|27000007|28000012|28000015,26000043|26000063,26000102,0.005974,Golem / Elite Barbarians
26000000|26000015|26000023|27000009|28000009|28000010|28000012|28000015,26000000|26000015,27000009,0.005906,Graveyard / Baby Dragon
26000000|26000015|26000023|27000009|28000009|28000010|28000012|28000015,26000000|26000015,26000023,0.005906,Graveyard / Baby Dragon
26000015|26000025|26000027|26000039|26000040|28000008|28000009|28000025,26000040,26000027|26000039,0.005769,Spirit Empress / Baby Dragon
26000010|26000021|26000064|26000065|26000084|27000000|28000014|28000015,26000064|27000000,,0.005610,Hog Rider / Mighty Miner
26000001|26000010|26000059|26000084|26000099|27000004|28000007|28000015,26000001|26000059,,0.005519,Lightning / Goblinstein
26000020|26000036|26000042|26000046|26000050|26000074|26000083|28000016,26000036|26000050,,0.005429,Giant Skeleton / Battle Ram
26000003|26000007|26000023|26000034|26000052|28000001|28000010|28000017,26000007|28000017,26000023,0.005065,Bowler / Giant
26000001|26000010|26000030|26000099|27000004|28000009|28000010|28000015,26000001|26000010,,0.005020,Goblinstein / Graveyard
26000000|26000001|26000028|26000043|26000077|27000007|28000002|28000016,26000000|26000001,,0.005020,Three Musketeers / Elite Barbarians
26000010|26000014|26000030|26000038|26000107|27000000|28000000|28000011,26000010|27000000,26000014,0.004974,Fireball / Minion Giant
26000005|26000053|26000054|26000056|26000102|27000002|28000000|28000015,26000056|27000002,26000102,0.004929,Cannon Cart / Rascals
26000013|26000018|26000036|26000037|26000055|26000083|28000005|28000008,26000036|26000037,26000018,0.004565,Mega Knight / Battle Ram
26000010|26000023|26000050|26000059|26000084|27000001|28000007|28000015,26000050|26000059,26000023,0.004452,Lightning / Royal Hogs
26000010|26000050|26000059|26000072|26000084|27000001|28000000|28000015,26000050|26000059,,0.004429,Archer Queen / Royal Hogs
